[0.000000] (-) TimerEvent: {}
[0.000400] (neo_simulation2) JobQueued: {'identifier': 'neo_simulation2', 'dependencies': OrderedDict()}
[0.181915] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/meshes\n'}
[0.181967] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/meshes/Ar_tag_nr2.dae\n'}
[0.182072] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/meshes/plate.blend\n'}
[0.182131] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/meshes/Ar_tag_nr9.dae\n'}
[0.182198] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials\n'}
[0.182255] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/scripts\n'}
[0.182318] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/scripts/ar_tag.material\n'}
[0.182374] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/textures\n'}
[0.182433] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/textures/qrcode.png\n'}
[0.182495] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/textures/MarkerData_10.png\n'}
[0.182564] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/textures/MarkerData_2.png\n'}
[0.182631] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/textures/MarkerData_9.png\n'}
[0.182696] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/materials/textures/qrcode1.png\n'}
[0.182763] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/model.sdf\n'}
[0.182822] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small\n'}
[0.182882] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/model.config\n'}
[0.182945] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials\n'}
[0.182995] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/scripts\n'}
[0.183051] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/scripts/Floor.material\n'}
[0.183109] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/scripts/wall_white.material\n'}
[0.183173] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures\n'}
[0.183230] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp11.jpg\n'}
[0.183297] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cl6.jpg\n'}
[0.183362] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cl4.jpg\n'}
[0.183409] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp10.jpg\n'}
[0.183455] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp3.jpg\n'}
[0.183511] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd5.jpg\n'}
[0.183557] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cl5.jpg\n'}
[0.183614] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cl3.jpg\n'}
[0.183660] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp2.jpg\n'}
[0.183729] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cl2.jpg\n'}
[0.183796] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp9.jpg\n'}
[0.183843] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd3.jpg\n'}
[0.183906] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp5.png\n'}
[0.183970] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp12.jpg\n'}
[0.184025] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd2.gif\n'}
[0.184088] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp8.jpg\n'}
[0.184147] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd4.jpg\n'}
[0.184206] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp6.jpg\n'}
[0.184252] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd8.jpg\n'}
[0.184317] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cl1.jpg\n'}
[0.184376] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/wall_color_white.jpg\n'}
[0.184442] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd6.png\n'}
[0.184502] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd1.jpg\n'}
[0.184554] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp4.jpg\n'}
[0.184611] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp7.jpg\n'}
[0.184657] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/cp1.jpg\n'}
[0.184703] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/materials/textures/hd7.jpg\n'}
[0.184749] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_small/model.sdf\n'}
[0.184795] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane\n'}
[0.184841] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane/model.config\n'}
[0.184887] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane/materials\n'}
[0.184932] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane/materials/scripts\n'}
[0.184976] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane/materials/scripts/neobotix_ground_plane.material\n'}
[0.185033] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane/materials/textures\n'}
[0.185080] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane/materials/textures/MyImage.jpg\n'}
[0.185126] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_ground_plane/model.sdf\n'}
[0.185170] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01\n'}
[0.185215] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/model.config\n'}
[0.185261] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/.DS_Store\n'}
[0.185319] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/meshes\n'}
[0.185364] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/meshes/aws_robomaker_warehouse_Bucket_01_collision.DAE\n'}
[0.185409] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/meshes/aws_robomaker_warehouse_Bucket_01_visual.DAE\n'}
[0.185460] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/materials\n'}
[0.185507] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/materials/.DS_Store\n'}
[0.185550] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/materials/textures\n'}
[0.185594] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/materials/textures/aws_robomaker_warehouse_Bucket_01.png\n'}
[0.185640] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_Bucket_01/model.sdf\n'}
[0.185684] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01\n'}
[0.185729] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/model.config\n'}
[0.185776] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/meshes\n'}
[0.185820] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/meshes/aws_robomaker_warehouse_ClutteringC_01_visual.DAE\n'}
[0.185864] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/meshes/aws_robomaker_warehouse_ClutteringC_01_collision.DAE\n'}
[0.185918] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/materials\n'}
[0.186066] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/materials/textures\n'}
[0.186212] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/materials/textures/aws_robomaker_warehouse_ClutteringC_01.png\n'}
[0.186290] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/materials/textures/aws_robomaker_warehouse_ClutteringC_02.png\n'}
[0.186368] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringC_01/model.sdf\n'}
[0.186419] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door\n'}
[0.186469] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door/model.config\n'}
[0.186518] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door/materials\n'}
[0.186567] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door/materials/scripts\n'}
[0.186617] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door/materials/scripts/door.material\n'}
[0.186666] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door/materials/textures\n'}
[0.186714] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door/materials/textures/door.jpg\n'}
[0.186762] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/door/model.sdf\n'}
[0.186972] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13\n'}
[0.187212] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/model.config\n'}
[0.187460] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/meshes\n'}
[0.187538] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/meshes/plate.blend\n'}
[0.187682] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/meshes/Ar_tag_nr13.dae\n'}
[0.187817] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/materials\n'}
[0.187889] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/materials/scripts\n'}
[0.188046] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/materials/scripts/ar_tag.material\n'}
[0.188151] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/materials/textures\n'}
[0.188313] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/materials/textures/MarkerData_13.png\n'}
[0.188478] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr13/model.sdf\n'}
[0.188646] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete\n'}
[0.188717] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete/model.config\n'}
[0.188894] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete/materials\n'}
[0.189002] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete/materials/scripts\n'}
[0.189108] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete/materials/scripts/wall_white.material\n'}
[0.189408] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete/materials/textures\n'}
[0.189539] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete/materials/textures/wall_color_white.jpg\n'}
[0.189645] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w_complete/model.sdf\n'}
[0.189775] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01\n'}
[0.189847] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/model.config\n'}
[0.189990] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/meshes\n'}
[0.190058] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/meshes/aws_robomaker_warehouse_ShelfD_01_collision.DAE\n'}
[0.190201] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/meshes/aws_robomaker_warehouse_ShelfD_01_visual.DAE\n'}
[0.190320] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/materials\n'}
[0.190483] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/materials/textures\n'}
[0.190693] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/materials/textures/aws_robomaker_warehouse_ShelfD_03.png\n'}
[0.190876] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/materials/textures/aws_robomaker_warehouse_ShelfD_04.png\n'}
[0.191072] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/materials/textures/aws_robomaker_warehouse_ShelfD_02.png\n'}
[0.191217] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/materials/textures/aws_robomaker_warehouse_ShelfD_01.png\n'}
[0.191370] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfD_01/model.sdf\n'}
[0.191562] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tag.dae\n'}
[0.191755] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01\n'}
[0.191909] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/model.config\n'}
[0.192097] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/meshes\n'}
[0.192228] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/meshes/aws_robomaker_warehouse_TrashCanC_01_collision.DAE\n'}
[0.192409] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/meshes/aws_robomaker_warehouse_TrashCanC_01_visual.DAE\n'}
[0.192480] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/materials\n'}
[0.192624] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/materials/textures\n'}
[0.192796] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/materials/textures/aws_robomaker_warehouse_TrashCanC_01.png\n'}
[0.192956] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_TrashCanC_01/model.sdf\n'}
[0.193139] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station\n'}
[0.193319] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/model.config\n'}
[0.193453] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/meshes\n'}
[0.193553] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/meshes/d1.stl\n'}
[0.193664] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/meshes/d1.dae\n'}
[0.193734] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/meshes/d1_back1.dae\n'}
[0.193864] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/materials\n'}
[0.193989] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/materials/scripts\n'}
[0.194107] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/materials/scripts/door_handle.material\n'}
[0.194178] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/docking_station/materials/scripts/door_3d.material\n'}
